New_Id,Sample_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
ITA271,ITA271,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA272,ITA272,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA273,ITA273,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA274,ITA274,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA275,ITA275,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA276,ITA276,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA277,ITA277,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA278,ITA278,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
ITA279,ITA279,aac(3)-IId,,aacA4notGEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA280,ITA280,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA281,ITA281,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA282,ITA282,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA283,ITA283,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA284,ITA284,aac(3)-IId,,aacA4notGEN_1neg,aadB,,,,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA285,ITA285,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA286,ITA286,aac(3)-IIe,,,aadB,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA287,ITA287,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA288,ITA288,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA289,ITA289,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA290,ITA290,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA291,ITA291,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA292,ITA292,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA293,ITA293,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,,,
ITA294,ITA294,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA295,ITA295,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA296,ITA296,aac(3)-IIe,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA297,ITA297,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA298,ITA298,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
ITA299,ITA299,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA300,ITA300,aac(3)-IId,,aacA4crA,,,,,,,,,,,,,,,,,,,,,
ITA301,ITA301,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA302,ITA302,aac(3)-IIe_3mix,,,,armA,,,,blaDHA,,,,,,,,,,,,,blaTEM-1-like,,
ITA303,ITA303,aac(3)-IIe,,,,,,,,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA304,ITA304,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA305,ITA305,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA306,ITA306,,,,,armA,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA307,ITA307,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA308,ITA308,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA309,ITA309,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA310,ITA310,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA311,ITA311,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA312,ITA312,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA313,ITA313,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA314,ITA314,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA315,ITA315,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA316,ITA316,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA317,ITA317,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA318,ITA318,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA319,ITA319,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA320,ITA320,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA321,ITA321,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA322,ITA322,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA323,ITA323,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA324,ITA324,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA325,ITA325,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA326,ITA326,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA327,ITA327,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA328,ITA328,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA329,ITA329,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
ITA330,ITA330,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
ITA331,ITA331,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA332,ITA332,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
ITA333,ITA333,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA334,ITA334,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA335,ITA335,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA336,ITA336,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA337,ITA337,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA338,ITA338,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA339,ITA339,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA340,ITA340,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
ITA341,ITA341,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
ITA342,ITA342,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA343,ITA343,aac(3)-IId,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA344,ITA344,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA345,ITA345,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,,,
ITA346,ITA346,,,,,,,,,,,,,,,,,,,,,,,,
ITA347,ITA347,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA348,ITA348,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA349,ITA349,aac(3)-IId+IIe,,,,,,,,blaDHA,,,,,,,,,,,,,blaTEM-1-like,,
ITA350,ITA350,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,,,
ITA351,ITA351,,,,,,,,,,,,,,,,,,,,,,,,
ITA352,ITA352,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA353,ITA353,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA354,ITA354,,,,,,,,,,,,,,,,,,,,,,,,
ITA355,ITA355,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA356,ITA356,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA357,ITA357,aac(3)-IIe,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA358,ITA358,aac(3)-IId+IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA359,ITA359,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA360,ITA360,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA361,ITA361,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA362,ITA362,,,,,,,,,,,,,,,,,,,,,,,,
ITA363,ITA363,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
ITA364,ITA364,,,,,,,,,,,,,,,,,,,,,,,,
ITA365,ITA365,,,,,,,,,,,,,,,,,,,,,,,,
ITA366,ITA366,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA367,ITA367,,,,,,,,,,,,,,,,,,,,,,,,
ITA368,ITA368,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA369,ITA369,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA370,ITA370,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA371,ITA371,,,,,,,,,,,,,,,,,,,,,,,,
ITA372,ITA372,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA373,ITA373,,,,,,,,,,,,,,,,,,,,,,,,
ITA374,ITA374,,,,,,,,,,,,,,,,,,,,,,,blaVEB,
ITA375,ITA375,,,,,,,,,,,,,,,,,,,,,,,,
ITA376,ITA376,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA377,ITA377,,,,,,,,,,,,,,,,,,,,,,,,
ITA378,ITA378,,,,,,,,,,,,,,,,,,,,,,,,
ITA379,ITA379,,,,,,,,,,,,,,,,,,,,,,,,
ITA380,ITA380,,,,,,,,,,,,,,,,,,,,,,,,
ITA381,ITA381,,,,,,,,,,,,,,,,,,,,,,,,
ITA382,ITA382,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA383,ITA383,,,,,,,,,,,,,,,,,,,,,,,,
ITA384,ITA384,,,,,,,,,,,,,,,,,,,,,,,,
ITA385,ITA385,,,,,,,,,,,,,,,,,,,,,,,,
ITA386,ITA386,,,,,,,,,,,,,,,,,,,,,,,,
ITA387,ITA387,,,,,,,,,,,,,,,,,,,,,,,,
ITA388,ITA388,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
ITA389,ITA389,,,,,,,,,,,,,,,,,,,,,,,,
ITA390,ITA390,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA391,ITA391,,,,,,,,,,,,,,,,,,,,,,,,
ITA392,ITA392,,,,,,,,,,,,,,,,,,,,,,,,
ITA393,ITA393,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA394,ITA394,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA395,ITA395,,,,,,,,,,,,,,,,,,,,,,,,
ITA396,ITA396,,,,,,,,,,,,,,,,,,,,,,,,
ITA397,ITA397,,,,,,,,,,,,,,,,,,,,,,,,
ITA398,ITA398,,,,,,,,,,,,,,,,,,,,,,,,
ITA399,ITA399,,,,,,,,,,,,,,,,,,,,,,,,
ITA400,ITA400,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA401,ITA401,aac(3)-IIe_3neg,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA402,ITA402,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA403,ITA403,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA404,ITA404,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA405,ITA405,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA406,ITA406,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA407,ITA407,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA408,ITA408,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA409,ITA409,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA410,ITA410,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA411,ITA411,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA412,ITA412,,,,,,,,,,,,,,,,,,,,,,,,blaVIM-1-like
ITA413,ITA413,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA414,ITA414,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA415,ITA415,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA416,ITA416,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA417,ITA417,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA418,ITA418,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
ITA419,ITA419,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA420,ITA420,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA421,ITA421,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA422,ITA422,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA423,ITA423,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA424,ITA424,,,,,,,,,,,,,,,,,,,,,,,,
ITA425,ITA425,,,,,,,,,,,,,,,,,,,,,,,,
ITA426,ITA426,aac(3)-IIe_3neg,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA427,ITA427,,,,,,,,,,,,,,,,,,,,,,,,
ITA428,ITA428,,,,,,,,,,,,,,,,,,,,,,,,
ITA429,ITA429,,,,,,,,,,,,,,,,,,,,,,,,
ITA430,ITA430,,,,,,,,,,,,,,,,,,,,,,,,
ITA431,ITA431,,,,,,,,,,,,,,,,,,,,,,,,
ITA432,ITA432,,,,,,,,,,,,,,,,,,,,,,,,
ITA433,ITA433,,,,,,,,,,,,,,,,,,,,,,,,
ITA434,ITA434,,,,,,,,,,,,,,,,,,,,,,,,
ITA435,ITA435,,,,,,,,,,,,,,,,,,,,,,,,
ITA436,ITA436,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
ITA437,ITA437,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM_2neg,,
ITA438,ITA438,,,,,,,,,,,,,,,,,,,,,,,,
ITA439,ITA439,,,,,,,,,,,,,,,,,,,,,,,,
ITA440,ITA440,,,,,,,,,,,,,,,,,,,,,,,,
ITA441,ITA441,,,,,,,,,,,,,,,,,,,,,,,,
ITA442,ITA442,,,,,,,,,,,,,,,,,,,,,,,,
ITA443,ITA443,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA444,ITA444,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA445,ITA445,,,,,,blaMIR,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA446,ITA446,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA447,ITA447,,,aacA4crC_2neg,,,,,,,,,,blaKPC,,,,,,,,,,,
ITA448,ITA448,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA449,ITA449,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA450,ITA450,,,,,,,,,,,,,,,,,,,,,,,,
NEP001,NEP1,aac(3)-IIe_2mix,,,aadB,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP010,NEP10,aac(3)-IId,,,aadB,,,blaCMY-2-like,G1-240G+G9-240G_36neg,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP100,NEP100,aac(3)-IIe_3neg,,,,,,,G1-240G+G9-240D_3neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP101,NEP101,,,,,,,,G1-240G,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP102,NEP102,aac(3)-IIe,,,,,,,G1-240G+G9-240D_3neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP103,NEP103,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM_2neg,,
NEP104,NEP104,aac(3)-IIe_3neg,,,,,,,G1_240G+G9-240D,,,blaGES-1-like,,,,blaOXA-10-like,,,,,,,blaTEM_2neg,,
NEP105,NEP105,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G+G9-240G_2pos_46neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
NEP106,NEP106,,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP107,NEP107,aac(3)-IIe_3neg,,,,,,,G1-240G+G9-240G_36neg,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM_2neg,,
NEP108,NEP108,,,,,,,blaCMY-2-like,G1-240G,,,,,,,,,,,,,,blaTEM_2neg,,
NEP109,NEP109,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP011,NEP11,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP110,NEP110,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G+G9-240G_36neg,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP111,NEP111,negative,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP112,NEP112,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G+G9_4neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP113,NEP113,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP114,NEP114,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP115,NEP115,aac(3)-IIe_3neg,,,,,,,G1-240G+G9-240G_36neg,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM_2neg,,
NEP116,NEP116,aac(3)-IIe_3neg,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP117,NEP117,aac(3)-II_3neg,,,,,,,,blaDHA,,,,,,,,,,,,,blaTEM-1-like,,
NEP118,NEP118,aac(3)-II_3neg,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP119,NEP119,aac(3)-IIe_3neg,,,,,,,,blaDHA,,,,,,blaOXA-10-like,,,,,,,blaTEM_2neg,,
NEP012,NEP12,aac(3)-IIe,,,,,,,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,blaVEB,
NEP120,NEP120,negative,,,,,,,G1-240G,blaDHA,,,,,,,,,,,,,blaTEM_2neg,,
NEP121,NEP121,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,,,
NEP122,NEP122,aac(3)-IIe_3neg,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
NEP123,NEP123,aac(3)-IId+IIe,,,,,,,,blaDHA,,,,,,,,,,,,,blaTEM-1-like,,
NEP124,NEP124,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
NEP125,NEP125,aac(3)-IIe+_3neg,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,,,,,,,blaTEM-ESBL-240K,,
NEP126,NEP126,aac(3)-IId,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
NEP127,NEP127,aac(3)-IIe_3neg,,,,,,,G1-240G,,,,,,,blaOXA-10-like,,,,,,,blaTEM_2neg,,
NEP128,NEP128,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP129,NEP129,aac(3)-IIe_2mix,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP013,NEP13,aac(3)-IId,,,aadB,,,blaCMY-2-like,G1-240G,blaDHA,,blaGES-2-like,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP130,NEP130,aac(3)-IIe,,,,armA,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP131,NEP131,aac(3)-IIe,,,,armA,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP132,NEP132,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP133,NEP133,aac(3)-IId+IIe,,,,armA,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP134,NEP134,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP135,NEP135,aac(3)-IId+IIe,,,,armA,,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP136,NEP136,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP137,NEP137,aac(3)-IId+IIe,,,,,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,rmtC,rmtF,,blaTEM-1-like,,
NEP138,NEP138,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP139,NEP139,aac(3)-IIe_2mix,,,,armA,,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP014,NEP14,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP140,NEP140,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,rmtF,,blaTEM-1-like,,
NEP141,NEP141,aac(3)-IIe,,,,armA,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP142,NEP142,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP143,NEP143,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP144,NEP144,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP145,NEP145,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP146,NEP146,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,rmtF,,blaTEM-1-like,,
NEP147,NEP147,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP148,NEP148,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP149,NEP149,aac(3)-IId+IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,rmtF,,blaTEM-1-like,,
NEP015,NEP15,aac(3)-IId+IIe,,,aadB,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP150,NEP150,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
