Sample Id,Site,Species,3GCR,GENR,Old_Id,aac(3)-II,aacA27,aacA4,aadB,armA,blaACT/blaMIR,blaCMY-2-like,blaCTX-M,DHA,fosA3,GES,IMP,KPC,NDM,OXA-10,OXA-30,OXA-48,rmtB,rmtC,rmtF,SHV,TEM,VEB,VIM
ITA321,Italy,K. pneumoniae,S,R,ITA321,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA322,Italy,K. pneumoniae,S,R,ITA322,aac(3)-IId,,aacA4notGEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA323,Italy,K. pneumoniae,R,R,ITA323,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA324,Italy,K. pneumoniae,R,R,ITA324,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA325,Italy,K. pneumoniae,R,R,ITA325,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA326,Italy,K. pneumoniae,R,R,ITA326,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA327,Italy,K. pneumoniae,R,S,ITA327,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA328,Italy,K. pneumoniae,R,R,ITA328,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA329,Italy,K. pneumoniae,R,R,ITA329,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
ITA330,Italy,K. pneumoniae,R,R,ITA330,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
ITA331,Italy,K. pneumoniae,R,S,ITA331,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA332,Italy,K. pneumoniae,R,S,ITA332,,,,,,,,,,,,,blaKPC,,,,,,,,,,,
ITA333,Italy,K. pneumoniae,R,S,ITA333,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA334,Italy,K. pneumoniae,R,R,ITA334,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA335,Italy,K. pneumoniae,R,R,ITA335,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA336,Italy,K. pneumoniae,R,R,ITA336,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,,,
ITA337,Italy,K. pneumoniae,R,S,ITA337,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA338,Italy,K. pneumoniae,R,R,ITA338,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA339,Italy,K. pneumoniae,R,R,ITA339,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA340,Italy,K. pneumoniae,R,R,ITA340,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
ITA341,Italy,K. pneumoniae,R,S,ITA341,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,blaKPC,,,,,,,,,blaTEM_1neg,,
ITA342,Italy,K. pneumoniae,R,R,ITA342,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA343,Italy,K. pneumoniae,R,R,ITA343,aac(3)-IId,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA344,Italy,K. pneumoniae,R,R,ITA344,aac(3)-IIe,,aacA4GEN_1neg,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA345,Italy,K. pneumoniae,S,S,ITA345,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,,,
ITA346,Italy,K. pneumoniae,S,S,ITA346,,,,,,,,,,,,,,,,,,,,,,,,
ITA347,Italy,K. pneumoniae,R,R,ITA347,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA348,Italy,K. pneumoniae,R,R,ITA348,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA349,Italy,K. pneumoniae,R,R,ITA349,,,,,,,,,blaDHA,,,,,,,,,,,,,blaTEM-1-like,,
ITA350,Italy,K. pneumoniae,R,R,ITA350,aac(3)-IIe,,aacA4GEN_1neg,,,,,G1-240G,,,,,,,,,,,,,,,,
ITA351,Italy,E. coli,S,S,ITA351,,,,,,,,,,,,,,,,,,,,,,,,
ITA352,Italy,E. coli,S,S,ITA352,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA353,Italy,E. coli,S,S,ITA353,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA354,Italy,E. coli,S,S,ITA354,,,,,,,,,,,,,,,,,,,,,,,,
ITA355,Italy,E. coli,S,S,ITA355,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA356,Italy,E. coli,S,S,ITA356,aac(3)-IIe_3neg,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA357,Italy,E. coli,S,S,ITA357,aac(3)-IIe,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA358,Italy,E. coli,S,S,ITA358,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
ITA359,Italy,E. coli,S,S,ITA359,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA360,Italy,E. coli,S,S,ITA360,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA361,Italy,E. coli,S,S,ITA361,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA362,Italy,E. coli,S,S,ITA362,,,,,,,,,,,,,,,,,,,,,,,,
ITA363,Italy,E. coli,S,S,ITA363,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
ITA364,Italy,E. coli,S,S,ITA364,,,,,,,,,,,,,,,,,,,,,,,,
ITA365,Italy,E. coli,S,S,ITA365,,,,,,,,,,,,,,,,,,,,,,,,
ITA366,Italy,E. coli,S,S,ITA366,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA367,Italy,E. coli,S,S,ITA367,,,,,,,,,,,,,,,,,,,,,,,,
ITA368,Italy,E. coli,S,S,ITA368,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA369,Italy,E. coli,R,R,ITA369,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA370,Italy,E. coli,R,R,ITA370,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA371,Italy,E. coli,S,S,ITA371,,,,,,,,,,,,,,,,,,,,,,,,
ITA372,Italy,E. coli,S,S,ITA372,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA373,Italy,E. coli,S,S,ITA373,,,,,,,,,,,,,,,,,,,,,,,,
ITA374,Italy,E. coli,S,S,ITA374,,,,,,,,,,,,,,,,,,,,,,,blaVEB,
ITA375,Italy,E. coli,S,S,ITA375,,,,,,,,,,,,,,,,,,,,,,,,
ITA376,Italy,E. coli,S,S,ITA376,,,,,,,,,,,,,,,,,,,,,,blaTEM_1neg,,
ITA377,Italy,E. coli,S,S,ITA377,,,,,,,,,,,,,,,,,,,,,,,,
ITA378,Italy,E. coli,S,S,ITA378,,,,,,,,,,,,,,,,,,,,,,,,
ITA379,Italy,E. coli,S,S,ITA379,,,,,,,,,,,,,,,,,,,,,,,,
ITA380,Italy,E. coli,S,S,ITA380,,,,,,,,,,,,,,,,,,,,,,,,
ITA381,Italy,E. coli,S,S,ITA381,,,,,,,,,,,,,,,,,,,,,,,,
ITA382,Italy,E. coli,S,S,ITA382,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA383,Italy,E. coli,S,S,ITA383,,,,,,,,,,,,,,,,,,,,,,,,
ITA384,Italy,E. coli,S,S,ITA384,,,,,,,,,,,,,,,,,,,,,,,,
ITA385,Italy,E. coli,S,S,ITA385,,,,,,,,,,,,,,,,,,,,,,,,
ITA386,Italy,E. coli,S,S,ITA386,,,,,,,,,,,,,,,,,,,,,,,,
ITA387,Italy,E. coli,S,S,ITA387,,,,,,,,,,,,,,,,,,,,,,,,
ITA388,Italy,E. coli,S,S,ITA388,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
ITA389,Italy,E. coli,S,S,ITA389,,,,,,,,,,,,,,,,,,,,,,,,
ITA390,Italy,E. coli,S,S,ITA390,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA391,Italy,E. coli,S,S,ITA391,,,,,,,,,,,,,,,,,,,,,,,,
ITA392,Italy,E. coli,S,S,ITA392,,,,,,,,,,,,,,,,,,,,,,,,
ITA393,Italy,E. coli,S,S,ITA393,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA394,Italy,E. coli,S,S,ITA394,,,,,,,,,,,,,,,,,,,,,,blaTEM-1-like,,
ITA395,Italy,E. coli,S,S,ITA395,,,,,,,,,,,,,,,,,,,,,,,,
ITA396,Italy,E. coli,S,S,ITA396,,,,,,,,,,,,,,,,,,,,,,,,
ITA397,Italy,E. coli,S,S,ITA397,,,,,,,,,,,,,,,,,,,,,,,,
ITA398,Italy,E. coli,S,S,ITA398,,,,,,,,,,,,,,,,,,,,,,,,
ITA399,Italy,E. coli,S,S,ITA399,,,,,,,,,,,,,,,,,,,,,,,,
ITA400,Italy,E. coli,R,R,ITA400,aac(3)-IId,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA401,Italy,K. pneumoniae,R,R,ITA401,aac(3)-IIe_3neg,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA402,Italy,K. pneumoniae,R,R,ITA402,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA403,Italy,K. pneumoniae,R,R,ITA403,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA404,Italy,K. pneumoniae,R,R,ITA404,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA405,Italy,K. pneumoniae,R,S,ITA405,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA406,Italy,K. pneumoniae,R,R,ITA406,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA407,Italy,K. pneumoniae,R,R,ITA407,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA408,Italy,K. pneumoniae,R,S,ITA408,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA409,Italy,K. pneumoniae,R,S,ITA409,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA410,Italy,K. pneumoniae,R,S,ITA410,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA411,Italy,K. pneumoniae,R,S,ITA411,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA412,Italy,K. pneumoniae,R,S,ITA412,,,,,,,,,,,,,,,,,,,,,,,,blaVIM-1-like
ITA413,Italy,K. pneumoniae,R,R,ITA413,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA414,Italy,K. pneumoniae,R,R,ITA414,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA415,Italy,K. pneumoniae,R,R,ITA415,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA416,Italy,K. pneumoniae,R,R,ITA416,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA417,Italy,K. pneumoniae,R,R,ITA417,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA418,Italy,K. pneumoniae,R,S,ITA418,,,,,,,,,,,,,,,,,,,,,,blaTEM_2neg,,
ITA419,Italy,K. pneumoniae,R,R,ITA419,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA420,Italy,K. pneumoniae,R,R,ITA420,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA421,Italy,K. pneumoniae,R,S,ITA421,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA422,Italy,K. pneumoniae,R,S,ITA422,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA423,Italy,K. pneumoniae,R,S,ITA423,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA424,Italy,K. pneumoniae,S,S,ITA424,,,,,,,,,,,,,,,,,,,,,,,,
ITA425,Italy,K. pneumoniae,S,S,ITA425,,,,,,,,,,,,,,,,,,,,,,,,
ITA426,Italy,K. pneumoniae,R,R,ITA426,aac(3)-IIe_3neg,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA427,Italy,K. pneumoniae,S,S,ITA427,,,,,,,,,,,,,,,,,,,,,,,,
ITA428,Italy,K. pneumoniae,S,S,ITA428,,,,,,,,,,,,,,,,,,,,,,,,
ITA429,Italy,K. pneumoniae,S,S,ITA429,,,,,,,,,,,,,,,,,,,,,,,,
ITA430,Italy,K. pneumoniae,S,S,ITA430,,,,,,,,,,,,,,,,,,,,,,,,
ITA431,Italy,K. pneumoniae,S,S,ITA431,,,,,,,,,,,,,,,,,,,,,,,,
ITA432,Italy,K. pneumoniae,S,S,ITA432,,,,,,,,,,,,,,,,,,,,,,,,
ITA433,Italy,K. pneumoniae,S,S,ITA433,,,,,,,,,,,,,,,,,,,,,,,,
ITA434,Italy,K. pneumoniae,S,S,ITA434,,,,,,,,,,,,,,,,,,,,,,,,
ITA435,Italy,K. pneumoniae,S,S,ITA435,,,,,,,,,,,,,,,,,,,,,,,,
ITA436,Italy,K. pneumoniae,R,R,ITA436,negative,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
ITA437,Italy,K. pneumoniae,S,S,ITA437,,,,,,,,G1-240G,,,,,,,,,,,,,,blaTEM_2neg,,
ITA438,Italy,K. pneumoniae,S,S,ITA438,,,,,,,,,,,,,,,,,,,,,,,,
ITA439,Italy,K. pneumoniae,S,S,ITA439,,,,,,,,,,,,,,,,,,,,,,,,
ITA440,Italy,K. pneumoniae,S,S,ITA440,,,,,,,,,,,,,,,,,,,,,,,,
ITA441,Italy,K. pneumoniae,S,S,ITA441,,,,,,,,,,,,,,,,,,,,,,,,
ITA442,Italy,K. pneumoniae,S,S,ITA442,,,,,,,,,,,,,,,,,,,,,,,,
ITA443,Italy,K. pneumoniae,R,S,ITA443,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA444,Italy,K. pneumoniae,R,R,ITA444,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA445,Italy,K. pneumoniae,R,S,ITA445,,,,,,blaMIR,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA446,Italy,K. pneumoniae,R,S,ITA446,,,,,,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA447,Italy,K. pneumoniae,R,S,ITA447,,,aacA4crC_2neg,,,,,,,,,,blaKPC,,,,,,,,,,,
ITA448,Italy,K. pneumoniae,R,R,ITA448,aac(3)-IIe,,,,,,,G1-240G,,,,,blaKPC,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
ITA449,Italy,K. pneumoniae,R,R,ITA449,,,,,armA,,,,,,,,blaKPC,,,,,,,,,blaTEM-1-like,,
ITA450,Italy,K. pneumoniae,S,S,ITA450,,,,,,,,,,,,,,,,,,,,,,,,
NEP001,Nepal,E. coli,R,R,NEP001,,,,aadB,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP002,Nepal,E. coli,R,R,NEP002,aac(3)-IIe,,,aadB,,blaACT-7-like,blaCMY-2-like,G1-240G+G9-240D_3neg,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP003,Nepal,E. coli,R,R,NEP003,negative,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP004,Nepal,E. coli,R,R,NEP004,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP005,Nepal,E. coli,R,R,NEP005,aac(3)-IId,,aacA4AMK,,,,blaCMY-2-like,,blaDHA,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP006,Nepal,E. coli,R,R,NEP006,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP007,Nepal,E. coli,R,R,NEP007,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP008,Nepal,E. coli,R,R,NEP008,aac(3)-IId,,,,,,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP009,Nepal,E. coli,R,R,NEP009,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
NEP010,Nepal,E. coli,R,R,NEP010,aac(3)-IId,,,aadB,,,blaCMY-2-like,G1-240G+G9-240G_36neg,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP011,Nepal,E. coli,R,R,NEP011,aac(3)-IIe,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP012,Nepal,E. coli,R,R,NEP012,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,blaVEB,
NEP013,Nepal,E. coli,R,R,NEP013,aac(3)-IId,,,aadB,,,blaCMY-2-like,G1-240G,blaDHA,,blaGES-2-like,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP014,Nepal,E. coli,R,R,NEP014,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP015,Nepal,E. coli,R,R,NEP015,,,,aadB,armA,blaACT-7-like,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP016,Nepal,E. coli,R,R,NEP016,aac(3)-IId,,aacA4notGEN_1neg,,,,blaCMY-2-like,G1-240D,blaDHA,,,blaIMP_12neg,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP017,Nepal,E. coli,R,R,NEP017,aac(3)-IId,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP018,Nepal,E. coli,R,R,NEP018,aac(3)-IIe,,,,,blaACT-7-like,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP019,Nepal,E. coli,R,R,NEP019,aac(3)-IId,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP020,Nepal,E. coli,R,R,NEP020,aac(3)-IId+IIe,,,aadB,,blaACT-7-like,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP021,Nepal,E. coli,R,R,NEP021,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP022,Nepal,E. coli,R,R,NEP022,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP023,Nepal,E. coli,R,R,NEP023,aac(3)-IIe,,,,,,,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP024,Nepal,E. coli,R,R,NEP024,aac(3)-IIe,,,,,blaACT-7-like,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP025,Nepal,E. coli,R,R,NEP025,aac(3)-IIe,,,aadB,,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP026,Nepal,E. coli,R,R,NEP026,,,,aadB,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP027,Nepal,E. coli,R,R,NEP027,,,,aadB,,,,G1-240G+G9-240G_36neg,blaDHA,,,,,,,blaOXA-30-like,,rmtB,,,,blaTEM-1-like,,
NEP028,Nepal,E. coli,R,R,NEP028,aac(3)-IId,,,aadB,,,,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP029,Nepal,E. coli,R,R,NEP029,aac(3)-IIe,,,,,blaACT-7-like,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
NEP030,Nepal,E. coli,R,R,NEP030,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP031,Nepal,E. coli,R,R,NEP031,aac(3)-IIe,,,aadB,,,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP032,Nepal,E. coli,R,R,NEP032,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP033,Nepal,E. coli,R,R,NEP033,aac(3)-IIe,,,aadB,,blaACT-7-like,blaCMY-2-like,G1-240G,blaDHA,,,blaIMP_12neg,,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
NEP034,Nepal,E. coli,R,R,NEP034,negative,,,aadB,armA,,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP035,Nepal,E. coli,R,R,NEP035,aac(3)-IIe,,,aadB,,,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP036,Nepal,E. coli,R,R,NEP036,aac(3)-IIe,,,,,,,G1-240G_2pos,blaDHA,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP037,Nepal,E. coli,R,R,NEP037,aac(3)-IIe,,,aadB,,,,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP038,Nepal,E. coli,R,R,NEP038,aac(3)-IIe,,,,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP039,Nepal,E. coli,R,R,NEP039,,,,aadB,,,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP040,Nepal,E. coli,R,R,NEP040,,,,,armA,,,G1-240G_2pos,blaDHA,,,,,blaNDM,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP041,Nepal,E. coli,R,R,NEP041,aac(3)-IIe,,,aadB,,blaACT-7-like,blaCMY-2-like,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP042,Nepal,E. coli,R,R,NEP042,aac(3)-IId,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP043,Nepal,E. coli,R,R,NEP043,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G_2pos,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP044,Nepal,E. coli,R,R,NEP044,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP045,Nepal,E. coli,R,R,NEP045,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G,blaDHA,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP046,Nepal,E. coli,R,R,NEP046,aac(3)-IIe,,,,,blaACT-7-like,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP047,Nepal,E. coli,R,R,NEP047,aac(3)-IIe,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP048,Nepal,E. coli,R,R,NEP048,aac(3)-IIe,,,,armA,blaACT-7-like,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP049,Nepal,E. coli,R,R,NEP049,,,,,,,,G1-240G,,,,,,,,blaOXA-30-like,,rmtB,,,,blaTEM_2neg,,
NEP050,Nepal,E. coli,R,R,NEP050,aac(3)-IIe_3neg,,,,,,,G1_2G,,,,,,,,,,,,,,blaTEM_1neg,,
NEP051,Nepal,E. coli,R,R,NEP051,aac(3)-IId,,,,,,blaCMY-2-like,G1-240G,,,,,,,,,,,,,,blaTEM-1-like,,
NEP052,Nepal,E. coli,R,S,NEP052,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP053,Nepal,E. coli,R,S,NEP053,aac(3)-IIe_3neg,,,,,,blaCMY-2-like,G1-240G+G9-240G_36neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP054,Nepal,E. coli,R,S,NEP054,,,,,,,,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
NEP055,Nepal,E. coli,R,S,NEP055,,,,,,,blaCMY-2-like,G1-240G+G9-240G_36neg,,,,,,,,,,,,,,blaTEM-1-like,,
NEP056,Nepal,E. coli,R,S,NEP056,aac(3)-II_3neg,,,,,,,G1-240G+G9-240G_36neg,,,,,,,,,,,,,,blaTEM-1-like,,
NEP057,Nepal,E. coli,R,S,NEP057,,,,,,,blaCMY-2-like,G1-240G+G9-240G_36neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP058,Nepal,E. coli,R,S,NEP058,negative,,,,,,blaCMY-2-like,G1-240G,,,,,,,,blaOXA-30-like,,,,,,blaTEM_2neg,,
NEP059,Nepal,E. coli,R,S,NEP059,negative,,,,,,blaCMY-2-like,G1-240G+G9-240G_2pos_46neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM_1neg,,
NEP060,Nepal,E. coli,R,S,NEP060,aac(3)-IIe,,,,,,blaCMY-2-like,G1-240G+G9-240G_36neg,,,,,,,blaOXA-10-like,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP061,Nepal,E. coli,R,S,NEP061,,,,,,,blaCMY-2-like,G1-240G_2pos,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
NEP062,Nepal,E. coli,R,S,NEP062,negative,,,,,,,G1-240G+G9-240D_3neg,,,,,,,,blaOXA-30-like,,,,,,blaTEM-1-like,,
