Sample Id,Site,Species,3GCR,GENR,CTXM,SHV,TEM,KPC,IMP,NDM,VIM,CMY2,DHA,OXA10,OXA30,OXA48,VEB,GES,ACTMIR,aac(3)II,aacA4,aac6Ib/II,aadB,armA,rmtB,rmtC,rmtF,
ITA268,Italy,E. coli,R,R,CTX-M-9-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
ITA269,Italy,E. coli,R,R,,,,,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA270,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA271,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA272,Italy,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
ITA273,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
ITA274,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA275,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA276,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
ITA277,Italy,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
ITA278,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA279,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
ITA280,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA281,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA282,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA283,Italy,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA284,Italy,E. coli,S,R,,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId,,,aadB,,,,,
ITA285,Italy,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
ITA286,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,aadB,,,,,
ITA287,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA288,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA289,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
ITA290,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA291,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA292,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA293,Italy,E. coli,R,R,,,,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA294,Italy,E. coli,R,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA295,Italy,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA296,Italy,E. coli,S,R,,,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA297,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA298,Italy,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA299,Italy,E. coli,R,R,CTX-M-15-like,,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA300,Italy,E. coli,R,R,,,,,,,,,,,,,,,,aac(3)-IId,aacA4 cr (A),,,,,,,
ITA301,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA302,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,DHA,,,,,,,aac(3)-IId + aac(3)-IIe,,,,armA,,,,
ITA303,Italy,K. pneumoniae,S,R,,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA304,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA305,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA306,Italy,K. pneumoniae,S,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,,,,armA,,,,
ITA307,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA308,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA309,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA310,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA311,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA312,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA313,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA314,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA315,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA316,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA317,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA318,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA319,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA320,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA321,Italy,K. pneumoniae,S,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA322,Italy,K. pneumoniae,S,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,,,,,,,,
ITA323,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,aacA4 (Amk),,,,,,,
ITA324,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA325,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA326,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA327,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA328,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA329,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
ITA330,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
ITA331,Italy,K. pneumoniae,R,S,CTX-M-15-like,SHV-1-like + SHV-5/12-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA332,Italy,K. pneumoniae,R,S,,SHV-1-like + SHV-5/12-like,,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA333,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA334,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA335,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA336,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA337,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA338,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA339,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA340,Italy,K. pneumoniae,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
ITA341,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
ITA342,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA343,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like + SHV-5/12-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IId,aacA4 (Amk),,,,,,,
ITA344,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA345,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA346,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA347,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA348,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA349,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,,,,,,DHA,,,,,,,aac(3)-IId + aac(3)-IIe,,,,,,,,
ITA350,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,,,,,,,,,,,,,,aac(3)-IIe,,,,,,,,
ITA351,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA352,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA353,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA354,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA355,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA356,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA357,Italy,E. coli,S,S,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,aacA4 cr (C),,,,,,,
ITA358,Italy,E. coli,S,S,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA359,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA360,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA361,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA362,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA363,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA364,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA365,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA366,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA367,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA368,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA369,Italy,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA370,Italy,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA371,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA372,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA373,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA374,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA375,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA376,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA377,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA378,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA379,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA380,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA381,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA382,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA383,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA384,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA385,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA386,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA387,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA388,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA389,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA390,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA391,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA392,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA393,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA394,Italy,E. coli,S,S,,,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA395,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA396,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA397,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA398,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA399,Italy,E. coli,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA400,Italy,E. coli,R,R,CTX-M-15-like,SHV-1-like + SHV-5/12-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IId,aacA4 (Gen) and aacA4 cr (C),,,,,,,
ITA401,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA402,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA403,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA404,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA405,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA406,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA407,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA408,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA409,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
ITA410,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA411,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA412,Italy,K. pneumoniae,R,S,,SHV-5/12-like (238+240),,,,,VIM-1-like,,,,,,,,,,,,,,,,,
ITA413,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA414,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA415,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA416,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA417,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA418,Italy,K. pneumoniae,R,S,,,TEM-1-like,,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA419,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA420,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA421,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA422,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA423,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
ITA424,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA425,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA426,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA427,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA428,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA429,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA430,Italy,K. pneumoniae,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA431,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA432,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA433,Italy,K. pneumoniae,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA434,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA435,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA436,Italy,K. pneumoniae,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,,aacA4 cr (C),,,,,,,
ITA437,Italy,K. pneumoniae,S,S,,SHV-1-like,TEM-1-like,,,,,,,,,,,,,,,,,,,,,
ITA438,Italy,K. pneumoniae,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA439,Italy,K. pneumoniae,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA440,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
ITA441,Italy,K. pneumoniae,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA442,Italy,K. pneumoniae,S,S,,,,,,,,,,,,,,,,,,,,,,,,
ITA443,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA444,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA445,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,aacA4 (Amk),,,,,,,
ITA446,Italy,K. pneumoniae,R,S,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,,,,,
ITA447,Italy,K. pneumoniae,R,S,,SHV-1-like,,KPC,,,,,,,,,,,,,aacA4 cr (C),,,,,,,
ITA448,Italy,K. pneumoniae,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,KPC,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
ITA449,Italy,K. pneumoniae,R,R,,SHV-1-like,TEM-1-like,KPC,,,,,,,,,,,,,,,,armA,,,,
ITA450,Italy,K. pneumoniae,S,S,,SHV-1-like,,,,,,,,,,,,,,,,,,,,,,
NEP001,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,aadB,,,,,
NEP002,Nepal,E. coli,R,R,CTX-M-15-like + CTX-M-9-like,SHV-5/12-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,aadB,,,,,
NEP003,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP004,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP005,Nepal,E. coli,R,R,,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,OXA-10-like,OXA-30,,,,,aac(3)-IId,aacA4,,,,,,,
NEP006,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP007,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP008,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
NEP009,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP010,Nepal,E. coli,R,R,CTX-M-15-like + CTX-M-27-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,aadB,,,,,
NEP011,Nepal,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP012,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,VEB,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP013,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,GES-2-like,,aac(3)-IId,aacA4 cr (C),,aadB,,,,,
NEP014,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
NEP015,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,NDM,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IId + aac(3)-IIe,aacA4 cr (C),,aadB,armA,,,,
NEP016,Nepal,E. coli,R,R,CTX-M group 1,SHV-1-like,TEM-1-like,,Other IMP,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IId,aacA4 (Amk and Gen),,,,,,,
NEP017,Nepal,E. coli,R,R,CTX-M-15-like,,TEM-1-like,,,,,,DHA,,OXA-30,,,,,aac(3)-IId,aacA4 cr (C),,,,,,,
NEP018,Nepal,E. coli,R,R,CTX-M-15-like,SHV-1-like,TEM-1-like,,,,,CMY-2-like,DHA,,OXA-30,,,,,aac(3)-IIe,aacA4 cr (C),,,,,,,
